origen,destino,distancia_km,factor_trafico,peso,peso_h00,peso_h01,peso_h02,peso_h03,peso_h04,peso_h05,peso_h06,peso_h07,peso_h08,peso_h09,peso_h10,peso_h11,peso_h12,peso_h13,peso_h14,peso_h15,peso_h16,peso_h17,peso_h18,peso_h19,peso_h20,peso_h21,peso_h22,peso_h23,tipo_ruta
V5_0,V5_1,0.076,1.0,0.076,0.076,0.076,0.076,0.076,0.076,0.084,0.092,0.099,0.099,0.092,0.084,0.084,0.084,0.092,0.092,0.099,0.107,0.114,0.107,0.099,0.092,0.084,0.076,0.076,vial-vial
V5_1,V5_2,0.046,1.0,0.046,0.046,0.046,0.046,0.046,0.046,0.05,0.055,0.06,0.06,0.055,0.05,0.05,0.05,0.055,0.055,0.06,0.064,0.069,0.064,0.06,0.055,0.05,0.046,0.046,vial-vial
V6_0,V6_1,0.127,1.0,0.127,0.127,0.127,0.127,0.127,0.139,0.152,0.177,0.203,0.19,0.165,0.152,0.139,0.152,0.165,0.177,0.19,0.215,0.228,0.203,0.177,0.152,0.139,0.139,0.127,vial-vial
V6_1,V6_2,0.132,1.0,0.132,0.132,0.132,0.132,0.132,0.145,0.158,0.184,0.211,0.197,0.171,0.158,0.145,0.158,0.171,0.184,0.197,0.224,0.237,0.211,0.184,0.158,0.145,0.145,0.132,vial-vial
V7_0,V7_1,0.532,1.0,0.532,0.532,0.532,0.532,0.532,0.585,0.638,0.745,0.851,0.798,0.692,0.638,0.585,0.638,0.692,0.745,0.798,0.904,0.958,0.851,0.745,0.638,0.585,0.585,0.532,vial-vial
V7_1,V7_2,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.825,0.9,1.05,1.2,1.125,0.975,0.9,0.825,0.9,0.975,1.05,1.125,1.275,1.35,1.2,1.05,0.9,0.825,0.825,0.75,vial-vial
V8_0,V8_1,0.122,1.0,0.122,0.122,0.122,0.122,0.122,0.134,0.146,0.171,0.195,0.183,0.159,0.146,0.134,0.146,0.159,0.171,0.183,0.208,0.22,0.195,0.171,0.146,0.134,0.134,0.122,vial-vial
V8_1,V8_2,0.202,1.0,0.202,0.202,0.202,0.202,0.202,0.222,0.242,0.283,0.323,0.303,0.262,0.242,0.222,0.242,0.262,0.283,0.303,0.343,0.363,0.323,0.283,0.242,0.222,0.222,0.202,vial-vial
V9_0,V9_1,0.043,1.0,0.043,0.051,0.051,0.047,0.047,0.055,0.064,0.077,0.085,0.085,0.077,0.064,0.06,0.064,0.068,0.072,0.081,0.085,0.085,0.081,0.072,0.064,0.06,0.055,0.051,vial-vial
V9_1,V9_2,0.168,1.0,0.168,0.202,0.202,0.185,0.185,0.218,0.252,0.302,0.336,0.336,0.302,0.252,0.235,0.252,0.269,0.286,0.319,0.336,0.336,0.319,0.286,0.252,0.235,0.218,0.202,vial-vial
V10_0,V10_1,0.091,1.0,0.091,0.091,0.091,0.091,0.091,0.091,0.101,0.11,0.119,0.119,0.11,0.101,0.101,0.101,0.11,0.11,0.119,0.128,0.137,0.128,0.119,0.11,0.101,0.091,0.091,vial-vial
V10_1,V10_2,0.111,1.0,0.111,0.111,0.111,0.111,0.111,0.111,0.122,0.133,0.145,0.145,0.133,0.122,0.122,0.122,0.133,0.133,0.145,0.156,0.167,0.156,0.145,0.133,0.122,0.111,0.111,vial-vial
V11_0,V11_1,0.231,1.0,0.231,0.231,0.231,0.231,0.231,0.254,0.277,0.323,0.369,0.346,0.3,0.277,0.254,0.277,0.3,0.323,0.346,0.392,0.415,0.369,0.323,0.277,0.254,0.254,0.231,vial-vial
V11_1,V11_2,0.133,1.0,0.133,0.133,0.133,0.133,0.133,0.146,0.16,0.186,0.213,0.2,0.173,0.16,0.146,0.16,0.173,0.186,0.2,0.226,0.239,0.213,0.186,0.16,0.146,0.146,0.133,vial-vial
V12_0,V12_1,0.019,1.0,0.019,0.019,0.019,0.019,0.019,0.019,0.021,0.023,0.025,0.025,0.023,0.021,0.021,0.021,0.023,0.023,0.025,0.027,0.029,0.027,0.025,0.023,0.021,0.019,0.019,vial-vial
V12_1,V12_2,0.018,1.0,0.018,0.018,0.018,0.018,0.018,0.018,0.02,0.022,0.024,0.024,0.022,0.02,0.02,0.02,0.022,0.022,0.024,0.026,0.027,0.026,0.024,0.022,0.02,0.018,0.018,vial-vial
V13_0,V13_1,0.071,1.0,0.071,0.071,0.071,0.071,0.071,0.078,0.085,0.099,0.113,0.106,0.092,0.085,0.078,0.085,0.092,0.099,0.106,0.12,0.127,0.113,0.099,0.085,0.078,0.078,0.071,vial-vial
V13_1,V13_2,0.031,1.0,0.031,0.031,0.031,0.031,0.031,0.034,0.037,0.043,0.049,0.046,0.04,0.037,0.034,0.037,0.04,0.043,0.046,0.052,0.055,0.049,0.043,0.037,0.034,0.034,0.031,vial-vial
V14_0,V14_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vial-vial
V14_1,V14_2,0.034,1.0,0.034,0.034,0.034,0.034,0.034,0.037,0.04,0.047,0.054,0.05,0.044,0.04,0.037,0.04,0.044,0.047,0.05,0.057,0.06,0.054,0.047,0.04,0.037,0.037,0.034,vial-vial
V15_0,V15_1,0.131,1.0,0.131,0.131,0.131,0.131,0.131,0.131,0.144,0.158,0.171,0.171,0.158,0.144,0.144,0.144,0.158,0.158,0.171,0.184,0.197,0.184,0.171,0.158,0.144,0.131,0.131,vial-vial
V15_1,V15_2,0.068,1.0,0.068,0.068,0.068,0.068,0.068,0.068,0.075,0.082,0.089,0.089,0.082,0.075,0.075,0.075,0.082,0.082,0.089,0.095,0.102,0.095,0.089,0.082,0.075,0.068,0.068,vial-vial
V16_0,V16_1,0.028,1.0,0.028,0.028,0.028,0.028,0.028,0.028,0.031,0.034,0.037,0.037,0.034,0.031,0.031,0.031,0.034,0.034,0.037,0.039,0.042,0.039,0.037,0.034,0.031,0.028,0.028,vial-vial
V16_1,V16_2,0.023,1.0,0.023,0.023,0.023,0.023,0.023,0.023,0.025,0.028,0.03,0.03,0.028,0.025,0.025,0.025,0.028,0.028,0.03,0.032,0.034,0.032,0.03,0.028,0.025,0.023,0.023,vial-vial
V17_0,V17_1,0.014,1.0,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.017,0.018,0.018,0.017,0.015,0.015,0.015,0.017,0.017,0.018,0.019,0.021,0.019,0.018,0.017,0.015,0.014,0.014,vial-vial
V17_1,V17_2,0.012,1.0,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.014,0.015,0.015,0.014,0.013,0.013,0.013,0.014,0.014,0.015,0.016,0.018,0.016,0.015,0.014,0.013,0.012,0.012,vial-vial
V18_0,V18_1,0.455,1.0,0.455,0.546,0.546,0.501,0.501,0.592,0.683,0.82,0.911,0.911,0.82,0.683,0.638,0.683,0.729,0.774,0.865,0.911,0.911,0.865,0.774,0.683,0.638,0.592,0.546,vial-vial
V18_1,V18_2,0.274,1.0,0.274,0.329,0.329,0.301,0.301,0.356,0.411,0.493,0.548,0.548,0.493,0.411,0.384,0.411,0.438,0.466,0.521,0.548,0.548,0.521,0.466,0.411,0.384,0.356,0.329,vial-vial
V19_0,V19_1,0.163,1.0,0.163,0.18,0.18,0.18,0.18,0.196,0.212,0.261,0.294,0.278,0.245,0.212,0.196,0.212,0.229,0.245,0.278,0.31,0.327,0.294,0.261,0.229,0.212,0.196,0.18,vial-vial
V19_1,V19_2,0.271,1.0,0.271,0.298,0.298,0.298,0.298,0.325,0.352,0.433,0.487,0.46,0.406,0.352,0.325,0.352,0.379,0.406,0.46,0.514,0.542,0.487,0.433,0.379,0.352,0.325,0.298,vial-vial
V20_0,V20_1,0.047,1.0,0.047,0.047,0.047,0.047,0.047,0.047,0.052,0.056,0.061,0.061,0.056,0.052,0.052,0.052,0.056,0.056,0.061,0.066,0.07,0.066,0.061,0.056,0.052,0.047,0.047,vial-vial
V20_1,V20_2,0.108,1.0,0.108,0.108,0.108,0.108,0.108,0.108,0.119,0.13,0.141,0.141,0.13,0.119,0.119,0.119,0.13,0.13,0.141,0.151,0.162,0.151,0.141,0.13,0.119,0.108,0.108,vial-vial
V21_0,V21_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vial-vial
V21_1,V21_2,0.042,1.0,0.042,0.051,0.051,0.046,0.046,0.055,0.063,0.076,0.084,0.084,0.076,0.063,0.059,0.063,0.067,0.072,0.08,0.084,0.084,0.08,0.072,0.063,0.059,0.055,0.051,vial-vial
V22_0,V22_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vial-vial
V22_1,V22_2,0.034,1.0,0.034,0.034,0.034,0.034,0.034,0.038,0.041,0.048,0.055,0.052,0.045,0.041,0.038,0.041,0.045,0.048,0.052,0.059,0.062,0.055,0.048,0.041,0.038,0.038,0.034,vial-vial
V23_0,V23_1,0.693,1.0,0.693,0.693,0.693,0.693,0.693,0.762,0.831,0.97,1.108,1.039,0.9,0.831,0.762,0.831,0.9,0.97,1.039,1.177,1.247,1.108,0.97,0.831,0.762,0.762,0.693,vial-vial
V23_1,V23_2,0.718,1.0,0.718,0.718,0.718,0.718,0.718,0.79,0.862,1.006,1.15,1.078,0.934,0.862,0.79,0.862,0.934,1.006,1.078,1.221,1.293,1.15,1.006,0.862,0.79,0.79,0.718,vial-vial
V24_0,V24_1,0.018,1.0,0.018,0.018,0.018,0.018,0.018,0.018,0.02,0.022,0.024,0.024,0.022,0.02,0.02,0.02,0.022,0.022,0.024,0.026,0.028,0.026,0.024,0.022,0.02,0.018,0.018,vial-vial
V24_1,V24_2,0.04,1.0,0.04,0.04,0.04,0.04,0.04,0.04,0.044,0.048,0.052,0.052,0.048,0.044,0.044,0.044,0.048,0.048,0.052,0.056,0.06,0.056,0.052,0.048,0.044,0.04,0.04,vial-vial
V25_0,V25_1,0.1,1.0,0.1,0.12,0.12,0.11,0.11,0.13,0.15,0.18,0.2,0.2,0.18,0.15,0.14,0.15,0.16,0.17,0.19,0.2,0.2,0.19,0.17,0.15,0.14,0.13,0.12,vial-vial
V25_1,V25_2,0.041,1.0,0.041,0.049,0.049,0.045,0.045,0.053,0.061,0.074,0.082,0.082,0.074,0.061,0.057,0.061,0.065,0.07,0.078,0.082,0.082,0.078,0.07,0.061,0.057,0.053,0.049,vial-vial
V26_0,V26_1,0.053,1.0,0.053,0.064,0.064,0.058,0.058,0.069,0.08,0.095,0.106,0.106,0.095,0.08,0.074,0.08,0.085,0.09,0.101,0.106,0.106,0.101,0.09,0.08,0.074,0.069,0.064,vial-vial
V26_1,V26_2,0.03,1.0,0.03,0.036,0.036,0.033,0.033,0.039,0.045,0.055,0.061,0.061,0.055,0.045,0.042,0.045,0.048,0.052,0.058,0.061,0.061,0.058,0.052,0.045,0.042,0.039,0.036,vial-vial
V27_0,V27_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vial-vial
V27_1,V27_2,0.076,1.0,0.076,0.091,0.091,0.084,0.084,0.099,0.114,0.137,0.152,0.152,0.137,0.114,0.106,0.114,0.122,0.129,0.144,0.152,0.152,0.144,0.129,0.114,0.106,0.099,0.091,vial-vial
V28_0,V28_1,0.124,1.0,0.124,0.148,0.148,0.136,0.136,0.161,0.186,0.223,0.247,0.247,0.223,0.186,0.173,0.186,0.198,0.21,0.235,0.247,0.247,0.235,0.21,0.186,0.173,0.161,0.148,vial-vial
V28_1,V28_2,0.678,1.0,0.678,0.814,0.814,0.746,0.746,0.882,1.017,1.221,1.356,1.356,1.221,1.017,0.949,1.017,1.085,1.153,1.289,1.356,1.356,1.289,1.153,1.017,0.949,0.882,0.814,vial-vial
V29_0,V29_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vial-vial
V29_1,V29_2,0.068,1.0,0.068,0.082,0.082,0.075,0.075,0.089,0.102,0.123,0.136,0.136,0.123,0.102,0.096,0.102,0.109,0.116,0.13,0.136,0.136,0.13,0.116,0.102,0.096,0.089,0.082,vial-vial
V30_0,V30_1,0.037,1.0,0.037,0.044,0.044,0.041,0.041,0.048,0.055,0.066,0.074,0.074,0.066,0.055,0.052,0.055,0.059,0.063,0.07,0.074,0.074,0.07,0.063,0.055,0.052,0.048,0.044,vial-vial
V30_1,V30_2,0.051,1.0,0.051,0.062,0.062,0.057,0.057,0.067,0.077,0.093,0.103,0.103,0.093,0.077,0.072,0.077,0.082,0.087,0.098,0.103,0.103,0.098,0.087,0.077,0.072,0.067,0.062,vial-vial
V31_0,V31_1,0.106,1.0,0.106,0.128,0.128,0.117,0.117,0.138,0.16,0.192,0.213,0.213,0.192,0.16,0.149,0.16,0.17,0.181,0.202,0.213,0.213,0.202,0.181,0.16,0.149,0.138,0.128,vial-vial
V31_1,V31_2,0.263,1.0,0.263,0.315,0.315,0.289,0.289,0.342,0.394,0.473,0.526,0.526,0.473,0.394,0.368,0.394,0.421,0.447,0.499,0.526,0.526,0.499,0.447,0.394,0.368,0.342,0.315,vial-vial
V32_0,V32_1,0.058,1.0,0.058,0.058,0.058,0.058,0.058,0.058,0.064,0.07,0.076,0.076,0.07,0.064,0.064,0.064,0.07,0.07,0.076,0.082,0.087,0.082,0.076,0.07,0.064,0.058,0.058,vial-vial
V32_1,V32_2,0.052,1.0,0.052,0.052,0.052,0.052,0.052,0.052,0.057,0.062,0.068,0.068,0.062,0.057,0.057,0.057,0.062,0.062,0.068,0.073,0.078,0.073,0.068,0.062,0.057,0.052,0.052,vial-vial
V33_0,V33_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vial-vial
V33_1,V33_2,0.176,1.0,0.176,0.176,0.176,0.176,0.176,0.176,0.194,0.212,0.229,0.229,0.212,0.194,0.194,0.194,0.212,0.212,0.229,0.247,0.265,0.247,0.229,0.212,0.194,0.176,0.176,vial-vial
V34_0,V34_1,0.044,1.0,0.044,0.044,0.044,0.044,0.044,0.044,0.049,0.053,0.057,0.057,0.053,0.049,0.049,0.049,0.053,0.053,0.057,0.062,0.066,0.062,0.057,0.053,0.049,0.044,0.044,vial-vial
V34_1,V34_2,0.113,1.0,0.113,0.113,0.113,0.113,0.113,0.113,0.124,0.135,0.147,0.147,0.135,0.124,0.124,0.124,0.135,0.135,0.147,0.158,0.169,0.158,0.147,0.135,0.124,0.113,0.113,vial-vial
V35_0,V35_1,0.556,1.0,0.556,0.556,0.556,0.556,0.556,0.612,0.667,0.778,0.89,0.834,0.723,0.667,0.612,0.667,0.723,0.778,0.834,0.945,1.001,0.89,0.778,0.667,0.612,0.612,0.556,vial-vial
V35_1,V35_2,0.195,1.0,0.195,0.195,0.195,0.195,0.195,0.214,0.234,0.273,0.312,0.292,0.253,0.234,0.214,0.234,0.253,0.273,0.292,0.331,0.351,0.312,0.273,0.234,0.214,0.214,0.195,vial-vial
V36_0,V36_1,0.241,1.0,0.241,0.289,0.289,0.265,0.265,0.313,0.362,0.434,0.482,0.482,0.434,0.362,0.337,0.362,0.386,0.41,0.458,0.482,0.482,0.458,0.41,0.362,0.337,0.313,0.289,vial-vial
V36_1,V36_2,0.421,1.0,0.421,0.506,0.506,0.463,0.463,0.548,0.632,0.758,0.843,0.843,0.758,0.632,0.59,0.632,0.674,0.716,0.8,0.843,0.843,0.8,0.716,0.632,0.59,0.548,0.506,vial-vial
V37_0,V37_1,0.04,1.0,0.04,0.048,0.048,0.044,0.044,0.052,0.06,0.072,0.08,0.08,0.072,0.06,0.056,0.06,0.064,0.068,0.076,0.08,0.08,0.076,0.068,0.06,0.056,0.052,0.048,vial-vial
V37_1,V37_2,0.031,1.0,0.031,0.038,0.038,0.034,0.034,0.041,0.047,0.056,0.063,0.063,0.056,0.047,0.044,0.047,0.05,0.053,0.06,0.063,0.063,0.06,0.053,0.047,0.044,0.041,0.038,vial-vial
V38_0,V38_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vial-vial
V38_1,V38_2,0.072,1.0,0.072,0.072,0.072,0.072,0.072,0.08,0.087,0.101,0.116,0.109,0.094,0.087,0.08,0.087,0.094,0.101,0.109,0.123,0.13,0.116,0.101,0.087,0.08,0.08,0.072,vial-vial
V39_0,V39_1,0.778,1.0,0.778,0.778,0.778,0.778,0.778,0.856,0.934,1.089,1.245,1.167,1.011,0.934,0.856,0.934,1.011,1.089,1.167,1.323,1.4,1.245,1.089,0.934,0.856,0.856,0.778,vial-vial
V39_1,V39_2,0.437,1.0,0.437,0.437,0.437,0.437,0.437,0.481,0.525,0.612,0.699,0.656,0.568,0.525,0.481,0.525,0.568,0.612,0.656,0.743,0.787,0.699,0.612,0.525,0.481,0.481,0.437,vial-vial
V40_0,V40_1,0.126,1.0,0.126,0.126,0.126,0.126,0.126,0.126,0.139,0.152,0.164,0.164,0.152,0.139,0.139,0.139,0.152,0.152,0.164,0.177,0.19,0.177,0.164,0.152,0.139,0.126,0.126,vial-vial
V40_1,V40_2,0.182,1.0,0.182,0.182,0.182,0.182,0.182,0.182,0.201,0.219,0.237,0.237,0.219,0.201,0.201,0.201,0.219,0.219,0.237,0.255,0.274,0.255,0.237,0.219,0.201,0.182,0.182,vial-vial
V41_0,V41_1,0.096,1.0,0.096,0.115,0.115,0.105,0.105,0.125,0.144,0.173,0.192,0.192,0.173,0.144,0.134,0.144,0.153,0.163,0.182,0.192,0.192,0.182,0.163,0.144,0.134,0.125,0.115,vial-vial
V41_1,V41_2,0.373,1.0,0.373,0.448,0.448,0.41,0.41,0.485,0.56,0.672,0.746,0.746,0.672,0.56,0.522,0.56,0.597,0.634,0.709,0.746,0.746,0.709,0.634,0.56,0.522,0.485,0.448,vial-vial
V42_0,V42_1,0.025,1.0,0.025,0.03,0.03,0.028,0.028,0.033,0.038,0.045,0.05,0.05,0.045,0.038,0.035,0.038,0.04,0.043,0.048,0.05,0.05,0.048,0.043,0.038,0.035,0.033,0.03,vial-vial
V42_1,V42_2,0.03,1.0,0.03,0.036,0.036,0.033,0.033,0.039,0.045,0.054,0.06,0.06,0.054,0.045,0.042,0.045,0.048,0.051,0.057,0.06,0.06,0.057,0.051,0.045,0.042,0.039,0.036,vial-vial
V43_0,V43_1,0.037,1.0,0.037,0.037,0.037,0.037,0.037,0.037,0.04,0.044,0.048,0.048,0.044,0.04,0.04,0.04,0.044,0.044,0.048,0.051,0.055,0.051,0.048,0.044,0.04,0.037,0.037,vial-vial
V43_1,V43_2,0.038,1.0,0.038,0.038,0.038,0.038,0.038,0.038,0.042,0.045,0.049,0.049,0.045,0.042,0.042,0.042,0.045,0.045,0.049,0.053,0.057,0.053,0.049,0.045,0.042,0.038,0.038,vial-vial
V44_0,V44_1,0.081,1.0,0.081,0.081,0.081,0.081,0.081,0.081,0.089,0.097,0.105,0.105,0.097,0.089,0.089,0.089,0.097,0.097,0.105,0.113,0.121,0.113,0.105,0.097,0.089,0.081,0.081,vial-vial
V44_1,V44_2,0.055,1.0,0.055,0.055,0.055,0.055,0.055,0.055,0.06,0.065,0.071,0.071,0.065,0.06,0.06,0.06,0.065,0.065,0.071,0.076,0.082,0.076,0.071,0.065,0.06,0.055,0.055,vial-vial
V45_0,V45_1,0.051,1.0,0.051,0.051,0.051,0.051,0.051,0.056,0.061,0.072,0.082,0.077,0.067,0.061,0.056,0.061,0.067,0.072,0.077,0.087,0.092,0.082,0.072,0.061,0.056,0.056,0.051,vial-vial
V45_1,V45_2,0.056,1.0,0.056,0.056,0.056,0.056,0.056,0.062,0.068,0.079,0.09,0.085,0.073,0.068,0.062,0.068,0.073,0.079,0.085,0.096,0.101,0.09,0.079,0.068,0.062,0.062,0.056,vial-vial
V46_0,V46_1,0.032,1.0,0.032,0.032,0.032,0.032,0.032,0.035,0.039,0.045,0.051,0.048,0.042,0.039,0.035,0.039,0.042,0.045,0.048,0.055,0.058,0.051,0.045,0.039,0.035,0.035,0.032,vial-vial
V46_1,V46_2,0.027,1.0,0.027,0.027,0.027,0.027,0.027,0.03,0.033,0.038,0.044,0.041,0.036,0.033,0.03,0.033,0.036,0.038,0.041,0.047,0.049,0.044,0.038,0.033,0.03,0.03,0.027,vial-vial
V47_0,V47_1,0.068,1.0,0.068,0.068,0.068,0.068,0.068,0.068,0.075,0.082,0.089,0.089,0.082,0.075,0.075,0.075,0.082,0.082,0.089,0.095,0.102,0.095,0.089,0.082,0.075,0.068,0.068,vial-vial
V47_1,V47_2,0.021,1.0,0.021,0.021,0.021,0.021,0.021,0.021,0.023,0.025,0.027,0.027,0.025,0.023,0.023,0.023,0.025,0.025,0.027,0.029,0.031,0.029,0.027,0.025,0.023,0.021,0.021,vial-vial
V48_0,V48_1,0.043,1.0,0.043,0.043,0.043,0.043,0.043,0.043,0.047,0.051,0.056,0.056,0.051,0.047,0.047,0.047,0.051,0.051,0.056,0.06,0.064,0.06,0.056,0.051,0.047,0.043,0.043,vial-vial
V48_1,V48_2,0.068,1.0,0.068,0.068,0.068,0.068,0.068,0.068,0.075,0.082,0.089,0.089,0.082,0.075,0.075,0.075,0.082,0.082,0.089,0.096,0.103,0.096,0.089,0.082,0.075,0.068,0.068,vial-vial
V49_0,V49_1,0.029,1.0,0.029,0.029,0.029,0.029,0.029,0.029,0.031,0.034,0.037,0.037,0.034,0.031,0.031,0.031,0.034,0.034,0.037,0.04,0.043,0.04,0.037,0.034,0.031,0.029,0.029,vial-vial
V49_1,V49_2,0.031,1.0,0.031,0.031,0.031,0.031,0.031,0.031,0.035,0.038,0.041,0.041,0.038,0.035,0.035,0.035,0.038,0.038,0.041,0.044,0.047,0.044,0.041,0.038,0.035,0.031,0.031,vial-vial
V50_0,V50_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vial-vial
V50_1,V50_2,0.097,1.0,0.097,0.117,0.117,0.107,0.107,0.127,0.146,0.175,0.195,0.195,0.175,0.146,0.136,0.146,0.156,0.166,0.185,0.195,0.195,0.185,0.166,0.146,0.136,0.127,0.117,vial-vial
V51_0,V51_1,0.191,1.0,0.191,0.229,0.229,0.21,0.21,0.248,0.286,0.343,0.381,0.381,0.343,0.286,0.267,0.286,0.305,0.324,0.362,0.381,0.381,0.362,0.324,0.286,0.267,0.248,0.229,vial-vial
V51_1,V51_2,0.484,1.0,0.484,0.58,0.58,0.532,0.532,0.629,0.725,0.871,0.967,0.967,0.871,0.725,0.677,0.725,0.774,0.822,0.919,0.967,0.967,0.919,0.822,0.725,0.677,0.629,0.58,vial-vial
V52_0,V52_1,0.793,1.0,0.793,0.951,0.951,0.872,0.872,1.031,1.189,1.427,1.586,1.586,1.427,1.189,1.11,1.189,1.269,1.348,1.507,1.586,1.586,1.507,1.348,1.189,1.11,1.031,0.951,vial-vial
V52_1,V52_2,0.436,1.0,0.436,0.523,0.523,0.479,0.479,0.567,0.654,0.785,0.872,0.872,0.785,0.654,0.61,0.654,0.697,0.741,0.828,0.872,0.872,0.828,0.741,0.654,0.61,0.567,0.523,vial-vial
V53_0,V53_1,0.107,1.0,0.107,0.128,0.128,0.117,0.117,0.139,0.16,0.192,0.214,0.214,0.192,0.16,0.149,0.16,0.171,0.182,0.203,0.214,0.214,0.203,0.182,0.16,0.149,0.139,0.128,vial-vial
V53_1,V53_2,0.322,1.0,0.322,0.387,0.387,0.354,0.354,0.419,0.483,0.58,0.644,0.644,0.58,0.483,0.451,0.483,0.515,0.548,0.612,0.644,0.644,0.612,0.548,0.483,0.451,0.419,0.387,vial-vial
V54_0,V54_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vial-vial
V54_1,V54_2,0.101,1.0,0.101,0.121,0.121,0.111,0.111,0.131,0.151,0.181,0.202,0.202,0.181,0.151,0.141,0.151,0.161,0.171,0.191,0.202,0.202,0.191,0.171,0.151,0.141,0.131,0.121,vial-vial
